Abbreviation,Name
YAD,"ALCOA POWER GENERATING, INC. - YADKIN DIVISION"
AECI,"ASSOCIATED ELECTRIC COOPERATIVE, INC."
HST,CITY OF HOMESTEAD
TAL,CITY OF TALLAHASSEE
DUK,DUKE ENERGY CAROLINAS
FPC,DUKE ENERGY FLORIDA INC
CPLE,DUKE ENERGY PROGRESS EAST
CPLW,DUKE ENERGY PROGRESS WEST
EEI,"ELECTRIC ENERGY, INC."
FPL,FLORIDA POWER & LIGHT COMPANY
GRID,GRIDFORCE SOUTH
ISNE,ISO NEW ENGLAND INC.
JEA,JEA
LGEE,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES
MISO,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC.."
NSB,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF"
NYISO,NEW YORK INDEPENDENT SYSTEM OPERATOR
NWMT,NORTHWESTERN ENERGY (NWMT)
OVEC,OHIO VALLEY ELECTRIC CORPORATION
PJM,"PJM INTERCONNECTION, LLC"
AEC,POWERSOUTH ENERGY COOPERATIVE
PNM,PUBLIC SERVICE COMPANY OF NEW MEXICO
SEC,SEMINOLE ELECTRIC COOPERATIVE
SC,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY
SEPA,SOUTHEASTERN POWER ADMINISTRATION
SOCO,"SOUTHERN COMPANY SERVICES, INC. - TRANS"
SWPP,SOUTHWEST POWER POOL
SPA,SOUTHWESTERN POWER ADMINISTRATION
TEC,TAMPA ELECTRIC COMPANY
TVA,TENNESSEE VALLEY AUTHORITY
WACM,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
WAUW,WESTERN AREA POWER ADMINISTRATION UGP WEST
